age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,addiction_level,productivity_score
24,2.95,1.46,7.84,8.58,111,100,,100
21,6.5,3.09,2.56,5.96,115,100,50,15.13
23,5.37,1.72,5.95,6.17,247,100,0,58.3
21,10.71,8.46,4.26,7.51,254,80.78,100,0
23,2.84,1.62,4.87,7.31,121,,0,76.41
22,4.11,2.03,3.15,5.91,271,100,50,25.29
26,9.52,5.55,7.72,6.07,159,100,100,62.06
16,2.51,1.99,4.57,5.74,162,100,0,27.93
15,6.93,2.6,7.5,5.18,259,100,50,77.39
30,6.42,5.23,0.06,6.29,285,76.03,100,0
37,5.34,4.48,4.58,7.43,80,100,50,50.79
37,5.95,5.16,5.74,7.71,42,100,100,52.91
38,7.3,3.93,5.96,7.89,30,100,50,59.75
19,3.61,1.55,7.24,5.87,35,100,0,78.89
17,7.72,4.05,0.04,7.82,68,100,50,0
26,10.05,5.02,0,4.03,189,75.29,100,0
22,9.6,3.89,3.78,6.39,138,97.3,50,43.84
36,3.54,2.35,0.23,7.97,61,100,50,20.31
17,3.49,2.05,7.8,7.15,29,100,50,100
15,4.68,3.83,1.78,6.37,68,100,50,47.4
17,5.61,1.79,3.78,7.22,284,100,0,67.59
19,6.08,4.17,0.49,8.53,226,95.64,50,7.25
29,8.8,6.67,4.18,6.83,186,91.39,100,11.41
28,2.57,1.94,3.04,8,21,100,0,62.58
17,2.35,1.95,0.36,8.9,87,,0,38.21
15,5.92,4.37,2.68,7.53,229,100,50,28
19,8.97,7.68,3.13,6.87,158,97.4,,14.22
37,3.93,1.96,7.92,4.19,56,100,0,73.35
28,8.42,5.07,1.66,5.87,237,87.44,100,1.14
21,4.6,1.42,4.36,6.83,297,100,0,57.11
23,10.86,3.3,7.9,7.99,199,100,50,93.4
29,10.96,4.87,6.34,6.19,24,100,50,50.06
29,4.97,1.79,7.95,8.8,149,100,0,100
24,4.3,1.96,7.75,5.36,152,100,0,66.18
27,6.11,2.48,3.92,7.72,118,100,50,54.22
33,4.41,1.4,5.57,6.1,179,100,0,86.75
21,8.72,7.37,0.88,6.43,255,78.44,100,0
31,10.26,3.13,3.53,8.01,166,100,50,44.31
34,8.73,6.47,6.47,5.48,134,100,100,47.01
18,10.24,4.01,4.04,4.48,23,100,50,34.74
19,5.97,5.06,5.62,6.6,106,100,100,28.43
37,3.56,2.98,5.97,6.64,65,100,50,65.71
21,9.38,6.49,2.03,7.99,102,95.62,100,9.1
27,5.6,3.94,7.01,8.84,173,100,50,91.26
29,8.71,2.64,3.68,4.28,130,100,50,44.97
25,4.71,4.2,1.68,6.96,136,98.23,50,13.28
18,2.81,2.32,6.92,7.41,116,100,50,90.56
27,11.93,9.99,3.34,8.93,208,85.75,100,0
21,3.56,2.48,6,8.71,107,100,50,75.47
33,11.88,6.02,4.38,7.56,106,100,100,41.22
36,11.77,9.84,3.05,6.61,45,80.82,100,0
16,9.94,4.72,6.48,4.81,50,100,50,52.28
24,8.59,5.48,4.68,5.92,145,100,100,21.68
27,7.78,2.8,3.12,6.93,217,100,50,36.67
39,10.66,9.09,0.88,7.63,50,76.81,100,0
35,4.89,1.88,7.16,7.18,251,100,0,94.15
20,6.68,2.91,0.28,7.57,64,100,50,12.4
26,8.19,5.2,6.91,6.15,208,100,100,52.29
26,6.11,4.63,2.88,7.64,71,100,50,29.7
34,6.27,4.21,5.11,4.72,71,100,50,36.19
25,5.3,2.33,7.38,4.81,98,100,50,78.83
37,7.64,2.3,1.21,4.81,68,100,50,16.82
39,10.51,7.93,4.54,8.45,249,86.69,100,8.58
21,4.02,3.58,,4.38,63,100,50,47.01
15,11.34,8.91,6.06,8.01,266,93.23,100,7.31
15,8.89,5.12,4.21,5.17,,98.45,100,12.46
39,10.23,8.62,5,6.34,41,100,100,25.78
39,7.56,4.13,6.06,,149,100,50,72.61
34,9.8,6.03,6.73,6.93,26,100,100,44.9
27,2.16,1.27,6.09,5.05,291,100,0,65.34
23,10.18,5.79,2.83,5.42,63,87.06,100,0
17,2.4,1.84,7.97,8.6,,100,0,100
21,10.9,6.72,3.48,6.14,84,96.54,100,11.74
20,11.92,5.84,0.2,6.93,265,75.6,100,0
22,4.94,2.25,2.9,6.3,92,100,,36.58
23,4.1,1.32,1.02,5.89,90,100,0,36.4
19,9.65,6.27,0.97,5.12,216,73.4,100,0
15,4.53,1.98,2.25,7.43,208,100,0,31.64
33,10.66,4.15,0.43,7.59,177,90.94,50,0
24,,2.1,5.51,5.37,44,100,50,71.85
26,3.26,2.31,0.59,7.95,90,100,50,19.04
38,11.79,8.86,,8.27,242,77.07,100,0
29,8.74,5.26,0.74,8.6,179,95.76,100,
36,10.47,8.76,0.51,4.81,94,71.36,100,0
38,5.24,4.52,2.14,5.52,157,96.78,50,0
23,8.76,6.87,4.58,8.3,60,100,100,42.93
34,7.94,5.41,7.72,4.99,35,100,100,57.74
31,8.03,3.87,7,4.02,208,100,50,52.96
31,8.83,7.86,7.01,8.35,47,100,100,
34,7.75,3.6,1.41,5.63,182,89.79,50,14.24
26,6.29,,2.12,6.07,74,100,50,38.51
21,4.76,2.69,0.61,6.23,293,85.99,50,21.99
16,9.69,3.24,6.23,8.24,121,100,50,76.81
17,4.26,3.78,0.56,5.69,61,96.82,50,0
31,8.92,5.83,4.45,8.46,282,93.21,100,49.57
19,4.33,2.75,1.98,7.08,190,100,50,22.97
31,8.25,5.72,1.95,6.64,227,85.9,100,0
38,9.47,5.67,7.93,5.63,68,100,100,62.94
31,4.19,1.34,6.05,5.22,79,100,0,63.87
31,2.6,1.74,6.7,7.12,25,100,0,82.94
16,3.31,2.42,4.58,6.23,167,100,50,58.85
16,8.06,4.43,6.97,8.55,230,100,50,98.84
36,10.49,7.91,5.16,6.46,,90.07,100,21.2
37,2.45,1.07,7.57,6.56,104,100,0,100
19,9.34,4.04,2.25,6.08,179,92.22,50,10.14
15,5.41,2.15,4.76,7.95,66,100,50,70.84
15,6.79,3.55,5.52,6.12,181,100,50,32.79
33,11.29,9.12,3.14,5.35,174,70.11,100,0
16,5.32,4.24,7.04,8.31,249,100,50,72.12
35,6.65,3.52,7.84,,177,100,50,83.37
26,2.14,1.4,3.95,,180,100,0,66.15
20,2.82,2.07,3.13,7.05,266,,50,40.11
37,4.59,2.04,3.78,7.59,75,100,50,72.27
18,2.28,0.91,6.82,5.57,170,100,0,89.17
37,8.31,7.34,5.16,4.17,73,87.29,100,0
25,6.26,4.2,0.36,8.05,242,88.11,50,0
38,7.48,6.65,4.34,4.64,273,88.47,100,6.5
31,3.75,1.88,0.14,7.61,87,100,0,19.43
20,4.96,3.58,6.23,4.41,72,100,50,55.77
38,8.64,3.75,2.63,5.88,264,96.7,50,14.42
19,11.65,,3.78,4.32,59,92.54,100,9.07
34,2.5,1.52,6.39,6.61,157,100,0,72.73
16,10.9,5.36,0.37,7.27,285,74.45,100,0
20,7.77,3.11,1.27,4.86,157,97.65,50,15.81
36,,3.5,3.18,5.86,229,99.05,50,15.47
25,7,2.25,1.84,8.65,191,100,50,36.53
30,2.69,1.94,2.7,6.21,204,100,0,50.66
30,2.9,1.73,7.99,8.01,259,100,0,80.93
15,8.01,2.86,6.6,8.64,230,100,50,85.85
23,5.41,2.18,7.07,8.87,170,100,50,90.43
20,11.17,4.04,7.5,8.49,143,,50,73.04
30,6.07,4.05,2.73,5.59,68,100,50,15.27
17,3.43,1.22,2.38,8.81,143,100,0,64.13
34,9.15,6.89,1.87,8.06,87,88.42,100,0
18,4.93,1.54,6.64,8.19,250,100,0,76.77
33,7.25,3.26,5.44,4.08,28,100,50,39.21
17,8.98,7.49,1.89,8.77,,80.23,100,0
33,11,8.04,3.02,7.89,144,90.89,100,9.69
34,9.92,3.41,4.05,7.84,131,100,50,43.46
21,8.76,6.94,4.23,4.41,73,81.48,100,6.39
34,8.8,5.24,7.11,5.16,108,100,100,44.83
23,11.46,9.26,3.04,8.81,114,82.74,100,0
15,4.96,3.28,7.27,6.5,269,100,50,69.27
22,2.01,1.43,3.53,5.99,185,100,0,38.96
21,4.72,4.23,5.97,8.2,246,100,50,51.67
32,4.18,1.84,7.44,4.44,155,100,0,72.02
22,8.62,5.81,7.26,6.08,84,100,100,69.02
15,8.34,4.81,0.46,5.88,24,87.4,50,0
25,7.93,2.57,1.65,5.75,139,100,50,11.57
39,2.16,0.67,3.82,5.54,238,100,0,61.84
39,9.29,3.45,3.45,5.05,62,100,50,39.26
32,5.24,3.61,5.13,4.86,207,100,50,31.35
37,8.65,5.54,7.56,7.2,45,100,100,82.18
24,7.57,4.78,0.9,8.6,286,92.97,50,9.01
17,5.43,1.73,3.61,6.54,181,100,0,53.73
21,3.35,1.95,1.54,5.49,252,95.09,0,23.3
30,2.94,2.51,7.15,4.8,149,100,50,74.33
30,10.32,5.56,7.72,8.15,40,100,100,71.12
39,11.18,7.55,3.83,8.86,147,99.94,100,24.29
34,8.5,6.53,0.83,5.75,95,83.58,100,0
31,3.03,2.33,6.28,5.45,92,100,50,84.38
16,6.02,3.68,5.58,7.01,252,100,50,33.92
15,9.29,7.57,2.84,7.88,125,87.17,100,0
30,9.8,,7.1,6.28,28,100,100,63.19
26,3.18,2.65,7.81,7.15,138,100,50,87.71
19,2,0.89,4.46,7.58,69,100,0,68.28
19,9.12,4.27,4.53,8.8,29,100,50,56.02
37,5.57,1.85,2.38,4.83,132,100,0,17.04
23,4.54,3.53,4.68,8.99,285,100,50,44.6
23,2.13,1.17,3.52,5.96,97,100,0,51.46
17,7.4,3.24,2.42,7.62,55,100,50,38.57
33,10.51,4.61,0.54,6.86,221,91.26,50,0
30,11.58,9.74,2.02,6.43,137,66.21,100,0
30,7.66,6.13,1.58,7.49,209,92.36,100,
17,7.14,4.51,4.34,5.98,261,100,50,34.25
34,2.85,1.91,4.81,4.63,188,100,0,39.42
38,7.49,4.38,4.87,6.44,249,100,50,34.46
,5.8,3.1,3.11,6.61,67,100,50,46.44
38,8.07,6.85,3.37,5.01,169,97.8,100,0
15,5.89,2.21,6.67,8.68,227,100,50,85.28
38,4.4,2.42,3.81,5.14,80,100,50,35.39
34,2.95,1.49,7.9,6.05,136,100,0,100
25,5.15,3.08,3.52,4.77,258,100,50,14.4
31,2.97,1.71,,6.68,67,100,0,51.47
22,3.77,2.3,0.4,5.54,264,90.99,50,11.44
18,11.87,4.56,5.23,6.45,24,100,50,44.09
20,6.44,3.91,6.81,5.12,119,100,50,48.54
22,7.32,3.26,7.54,4.27,224,100,50,59.03
34,10.74,4.41,7.98,7.9,199,100,50,93.21
17,11.96,4.05,2.26,7.21,36,100,50,25.2
30,7.83,5.93,4.6,5.7,109,100,100,38.44
39,10.12,5.63,3.61,4.24,127,91.09,100,
17,5.27,3.56,4.51,8.33,209,100,50,
39,5.06,3.73,1.26,4.85,199,80.61,50,0
32,6.03,4.27,6.85,8.65,268,100,50,81.82
28,8.73,5.08,7.28,6.39,270,100,100,67.46
32,8.82,4.7,3.6,5.7,39,100,50,15.78
,5.15,2.71,2.24,7.71,116,100,50,40.01
36,3.33,2.28,1.13,8.38,241,100,50,29.8
17,,4.97,5.47,5.85,163,100,50,48.66
30,3.28,2.66,2.5,6.04,26,100,50,21.81
23,7.78,6.42,7.28,6.17,287,100,100,39.61
18,8.93,3.59,5.37,8.61,20,100,50,67.91
15,9.01,3.44,5.17,7.46,77,100,50,74.22
18,9.53,6.46,4.48,5.24,283,90.51,100,11.43
15,10.73,5.16,0.37,4.92,109,88.78,100,0
28,7,2.18,7.46,5.15,94,100,,83.3
35,9.3,7.75,5.02,5.32,280,94.61,100,0
30,8.19,3.57,7.95,5.15,262,100,50,51.97
34,3.87,3.32,4.3,,138,,50,47.13
38,2.26,1.65,5.68,4.58,66,100,0,67.3
22,4.85,3.67,0.45,5.94,187,,50,1.16
21,6.43,2.71,5.05,7.13,46,100,50,63.62
17,8.17,3.6,6.12,5.45,20,100,50,76.91
31,10.5,6.43,6.23,4.33,193,88,100,42.23
15,3.96,1.6,6.16,4.41,186,100,0,57.03
,3.26,1.58,1.81,4.63,37,100,0,36.93
26,11.63,5.73,7.8,8.18,110,100,100,92.38
33,3.08,1.22,7.96,7.29,221,100,0,100
36,6.78,2.87,0.6,4.32,40,98.46,50,13.52
37,7.86,6.08,7.49,5.96,175,100,100,49.47
36,7.41,2.97,2.32,5.39,33,100,50,12.35
28,2.86,0.91,5.51,6.89,39,100,0,71.49
20,2.57,1.74,2.7,6.61,263,100,0,43.52
20,3.05,2.7,7.74,6.41,192,100,50,85.03
27,7.86,3.92,0.81,5.57,141,96.64,,1.05
33,7.44,2.76,3.98,4.69,203,100,50,44.18
36,4.34,2.79,3.42,7.71,87,100,50,59.52
22,8.38,7.07,2.61,8.4,178,94.11,100,17.89
16,10.2,7.86,5.16,8.72,68,98.36,100,37.64
35,2.42,1.63,1.05,4.29,200,100,0,18.08
15,6.98,3.41,5.73,7.7,160,100,50,58.45
29,8.89,5.56,7.84,7.63,37,100,100,71.81
15,4.52,1.6,6.44,8.74,159,100,0,94.13
19,5.08,3.59,6.88,5.26,91,100,50,63.12
30,8.14,5.98,2.88,7.71,261,86.98,100,0
33,10.98,9.65,2.6,4.27,280,61.74,100,0
18,10.1,4.61,4.14,7.16,282,100,50,31.28
17,7.83,2.44,0.37,5.75,162,98.95,50,6.69
31,9.3,5.83,7.56,7.84,214,100,100,67.48
31,5.65,4.09,1.15,8.32,165,100,50,20.96
26,8.41,6.51,7.22,5.82,45,100,100,59.81
28,6.66,2.77,0.67,6.63,78,96.19,50,21.26
35,3.9,1.78,6.58,4.59,71,100,0,68.54
20,9.02,5.48,1.22,6.08,168,81.52,100,6.95
17,7.56,3.77,0.31,5.8,126,89.67,50,13.2
23,5.59,4.56,5.76,4.92,78,100,50,43.17
19,11.11,6.49,2.24,8.47,277,81.59,100,17.01
38,2.21,1.72,5.72,4.74,38,100,0,67.63
31,5.16,3.35,4.44,7.18,185,100,50,59.45
28,2.57,1.96,0.87,8.45,44,100,0,47.19
35,9.67,4.83,7.46,8.56,23,,50,71.74
17,9.02,7.21,3.62,7.97,22,100,100,31.71
15,5.31,2.47,5.88,4.88,46,100,,62.51
34,8.76,5.5,4.01,8.09,238,94.29,100,33.31
35,5.96,2.55,4.83,5.38,63,100,50,64.03
37,9.56,5.6,2.42,8.61,231,100,100,12.95
15,6.54,3.21,1.6,7.55,71,100,50,35.86
17,6.12,2.82,4.34,7.93,172,100,50,57
32,11.35,9.99,3.52,4.43,221,69.13,100,0
39,4.51,1.79,3.12,,30,100,0,56.96
24,3.2,2.47,5.38,8.11,87,100,50,84.51
36,7.85,6.99,5.52,8.31,246,96.1,100,34.51
17,11.69,3.65,0.37,4.14,140,86.52,50,0
22,5.78,4.16,2.71,8.7,34,100,50,33.08
28,2.62,1.18,3.29,4.22,76,100,0,35.21
38,5.39,1.75,0.78,7.07,83,100,0,49.41
32,7.06,3.82,1.89,7.47,249,98.57,50,9.48
29,3.62,3.12,0.41,4.54,30,100,50,0
36,8.58,2.63,7.97,4.24,140,100,50,71.81
37,11.98,7.82,5.89,7.92,243,95.13,100,30.51
16,6.52,3.92,0.7,5.92,244,92.58,50,0
24,5.55,4.57,0.16,4.54,144,94.11,50,0
16,6.01,2.11,5.75,7.81,167,100,50,61.86
31,3.15,2.23,3.51,8.25,247,100,50,51.72
22,10.83,7.67,6.29,6.94,,100,100,24.86
15,6.15,4.31,7.39,4.81,29,100,50,71.65
23,5.87,5.08,4.79,4.08,73,100,100,14.04
25,8.6,6.83,1.5,7.5,205,84.18,100,0
36,6.42,2.09,6.26,6.75,226,100,50,64.9
30,8.48,4.94,7.65,7.25,274,100,50,74.53
,2.61,1.41,4.64,8.07,176,100,0,65.49
24,10.14,4.93,5.46,6.17,148,100,50,31.07
37,11.41,6.51,2.7,4.62,77,89.29,100,6.25
17,8.49,4.5,3.05,8.7,214,99.36,50,11.65
32,11.55,6.46,5.88,6.73,95,100,100,44.84
39,3.51,3.12,7.42,7.08,108,100,50,84.77
38,6.77,2.39,5.03,8.67,100,100,50,96.75
27,8.02,6.84,6.32,8.66,205,100,100,52.14
21,7.82,4.6,1.37,6.86,287,92.15,50,7.6
39,6.01,4.05,1.7,5.49,98,100,50,0.59
18,5.38,4.29,4.26,8.99,164,100,50,46.12
27,3.27,1.69,1.41,7.4,148,100,0,35.76
34,,3.3,5.08,6.04,33,100,50,67.83
,3.63,1.98,2.33,6.8,138,100,0,29.63
22,9.34,4.9,6.33,6.08,21,100,50,35.49
28,4.09,3.5,6.46,8.44,23,100,50,78.83
30,2.59,2.07,3.71,6.41,263,100,50,28.77
28,7.52,2.75,1.45,8.12,85,100,50,38.64
26,7.95,2.9,5.17,8.2,265,100,50,76.71
33,10.72,5.97,7.94,8.12,109,100,100,79.28
37,7.77,2.79,4.98,7.61,197,100,50,54.58
29,5.45,3.66,0.29,8.27,79,100,50,28.8
16,10.03,3.87,0.14,5.94,251,87.95,50,0
16,,4.54,2.56,4.57,195,88.41,50,0
37,2.79,0.85,1.57,8.21,186,100,0,58.67
36,7.66,3.75,6.5,6.49,217,100,50,57.38
33,11.08,7.83,6.76,4.64,79,92.88,100,27.38
39,5.96,3.52,2.07,4.58,102,93.72,50,22.53
36,4.96,4.4,2.61,4.8,93,98.37,50,1.12
36,3.43,2.83,1.89,7.75,45,100,50,28.32
31,3.51,1.81,7.27,7.55,262,100,0,82.23
34,6.33,2.07,4.02,5.02,135,100,50,42.36
24,7.96,6.43,5.25,8.23,199,100,,29.14
20,2.81,2.38,3.32,5.41,281,100,50,36.5
29,11.4,9.03,5.05,7.96,133,87.02,100,17.66
36,9.55,3.6,3.09,,285,100,50,25.76
25,7.87,7.07,2.72,7.66,57,100,100,9.52
19,10.28,4.68,5.08,,96,100,50,33.48
15,2.8,2.06,4.73,5.74,121,100,50,56.1
22,6.77,5.72,2.35,8.21,31,100,100,1.01
35,8.3,3.66,1.19,4.18,68,93.81,50,11.38
26,10.29,8.69,2.95,8.87,273,78.18,100,0
26,9.83,4.77,3.32,7.24,268,98.73,50,18.02
19,4.77,4.23,5.03,6.16,91,100,50,35.18
21,11.41,5.35,7.32,7.14,216,100,100,61.02
18,3.24,2.83,0.29,4.61,272,95.2,50,0
20,10.75,3.57,1.95,6.57,241,95.93,50,22.86
27,11.71,8.5,1.55,8.93,79,94.46,100,0
34,3.77,2.33,4.02,5.18,176,100,50,43.56
29,9.22,5.41,3.44,7.61,221,100,100,26.8
17,2.4,1.04,5.83,6.17,286,100,0,80.22
37,6.05,4.38,1.94,7.26,54,100,50,25.71
22,7.16,2.97,4.76,5.02,274,100,50,31.65
34,7.81,,7.07,6.35,42,100,50,62.43
30,11.36,5.13,7.29,8.9,184,100,100,69.8
27,8.72,7.62,7.67,4.98,47,100,100,28.75
32,6.81,2.16,6.19,7.18,72,100,50,78.09
24,10.1,4.24,7.25,6.88,104,100,50,55.92
33,11.51,5.13,1.88,6.83,143,89.08,100,9.97
31,,1.22,1.58,7.08,226,100,0,46.72
38,11.83,5.2,0.05,6.51,184,81.58,100,0
33,2.86,1.7,5.65,4.08,66,100,0,65.23
37,10.14,8.35,7.5,8.5,175,100,100,48.04
19,4.8,3.49,1.5,8.13,285,100,50,18.03
35,3.32,2.15,5.1,4.87,298,100,50,70.81
37,6.4,2.26,5.97,6.07,24,100,50,69.11
23,8.44,6.05,7.42,7.85,101,,100,48.85
26,5.81,2.32,5.17,8.9,138,100,50,81.13
35,2.55,1.97,,8.76,281,100,0,100
15,,,2.76,8.5,144,100,50,25.94
15,11.02,6.06,2.8,4.79,234,83.21,100,0
29,5.83,2.97,4.34,8.57,47,100,50,62.77
16,4.16,3.39,3.07,8.39,288,97.03,50,31.24
36,6.43,2.42,0.01,5.88,44,100,50,18
30,2.48,1.59,5.85,5.97,26,100,0,67.07
39,10.2,3.93,6.01,6.3,213,100,50,51.26
22,10.26,7.42,5.98,7.28,99,100,100,29.66
27,7.88,6.64,2.76,5.3,55,88.84,100,3.84
35,5.53,3.1,4.18,,277,97.98,50,35.57
15,10,5.93,2.88,4.71,132,88,100,5.44
30,7.55,6.47,0.13,6.2,221,83.53,100,0
21,10.26,6.29,4.5,5.41,33,100,100,22.37
19,8.31,4.92,0.99,7.82,174,93.77,,9.19
36,9.84,6.37,0.64,4.53,104,83.52,100,0
37,7.99,5.7,6.04,8.59,159,100,100,51.21
17,6.14,2.24,0.08,8.48,116,100,50,22.04
26,11.58,9.18,7.67,8.54,204,100,100,34.15
30,7.41,4.16,4.12,7.7,208,100,50,52.96
33,8.05,2.76,7.86,4.53,101,100,50,62.73
19,4.2,3.24,0.46,6.19,199,88.61,50,8.18
36,8.26,4.35,4.67,4.66,124,96.42,50,21.53
39,7.72,2.78,2.79,8.94,229,100,50,38.69
28,3.85,2.62,6.75,5.67,268,100,50,66.46
19,2.6,2.15,2.89,6.93,91,100,50,23.76
29,8.04,6.69,2.08,7.9,180,85.28,100,0
31,9.64,8.43,6.86,8.6,152,100,100,23.59
28,7.23,5.93,3,7.78,259,92.38,100,17.95
34,4.27,1.29,0.13,7.37,97,100,0,35.16
19,8.67,4.58,3.12,6.33,77,100,50,7.94
26,2.8,2.22,5.24,7.03,144,100,50,63.69
30,6.42,3.34,2.03,4.47,30,100,50,17.78
